state,Zillow Home Value Index,"Yearly Appreciation (%, 5yr)","Yearly Appreciation (%, 10yr)",Listings with price cut (%),Median value per sq. ft. ($),Median list price ($),Median rent list price ($),Median rent list price / sq. ft. ($),Zillow Rent Index,fips
Alabama,143100,4.040000000000001,1.67,12.09,137,220000,1050.0,0.7504000000000001,1088,1
Alaska,300100,,,11.330000000000002,390,282900,1600.0,1.1999,1597,2
Arizona,277600,7.1000000000000005,5.470000000000001,13.420000000000002,413,299900,1500.0,1.0086,1529,4
Arkansas,130900,3.9600000000000004,2.2500000000000004,11.950000000000001,150,176000,1010.0,0.771,1003,5
California,578300,5.800000000000001,5.62,11.63,793,533500,2780.0,2.0301,2657,6
Colorado,408800,7.5,5.7,11.110000000000001,561,428400,2000.0,1.5672000000000001,2012,8
Connecticut,259900,1.5700000000000003,-0.27999999999999997,14.940000000000001,239,309900,1800.0,1.4063,1771,9
Delaware,257500,2.75,0.63,10.22,302,300000,1400.0,0.9549000000000001,1576,10
Florida,252300,6.5600000000000005,4.760000000000001,17.36,332,299000,1780.0,1.3435000000000001,1716,12
Georgia,206800,6.61,3.8900000000000006,13.700000000000001,236,260700,1430.0,0.8628,1434,13
Hawaii,642500,3.4000000000000004,3.3600000000000003,12.660000000000002,794,630000,2300.0,2.4771,2413,15
Idaho,298300,,,9.99,283,334900,1400.0,0.9823000000000001,1418,16
Illinois,204800,3.34,1.07,16.18,316,229900,1570.0,1.2684,1613,17
Indiana,158700,,,14.96,153,186000,1000.0,0.8271000000000001,1165,18
Iowa,154700,3.74,2.35,10.61,178,175000,1050.0,0.9840000000000001,1041,19
Kansas,153900,,,11.700000000000001,180,180000,1050.0,0.8734000000000001,1035,20
Kentucky,150000,5.07,2.7100000000000004,13.5,139,193500,1100.0,0.899,1089,21
Louisiana,170400,,,16.6,249,212000,1200.0,0.8959,1269,22
Maine,249600,5.58,2.7800000000000002,7.82,281,237000,1700.0,1.3223,1492,23
Maryland,313000,2.63,1.31,13.920000000000002,358,319900,1700.0,1.3203,1851,24
Massachusetts,433900,4.500000000000001,3.0100000000000002,11.1,414,464900,2550.0,2.4534000000000002,2262,25
Michigan,177000,6.9,5.43,12.540000000000001,208,175000,1150.0,0.9868,1262,26
Minnesota,263700,5.7700000000000005,3.52,10.97,330,275000,1600.0,1.2845,1599,27
Mississippi,127500,,,12.06,145,189000,1150.0,0.7937000000000001,1101,28
Missouri,165700,,,11.09,181,186000,1030.0,0.9146000000000001,1042,29
Montana,288900,,,7.180000000000001,333,319900,1300.0,1.0815000000000001,1329,30
Nebraska,178900,5.75,3.51,11.910000000000002,203,200000,1200.0,1.0621,1203,31
Nevada,309700,8.22,6.890000000000001,16.970000000000002,365,324000,1550.0,1.0006000000000002,1561,32
New Hampshire,299300,5.26,3.0300000000000002,7.71,276,314900,1750.0,1.3889,1805,33
New Jersey,342500,2.4699999999999998,0.53,13.209999999999999,614,340000,2000.0,1.4781,2094,34
New Mexico,210100,,,11.71,211,235000,1250.0,0.8681000000000001,1270,35
New York,328700,3.9800000000000004,2.1500000000000004,11.080000000000002,357,429000,3200.0,,2022,36
North Carolina,208000,5.57,2.58,11.950000000000001,188,274500,1400.0,0.8778,1332,37
North Dakota,237500,,,11.510000000000002,400,215000,1300.0,0.937,1355,38
Ohio,153600,5.640000000000001,2.53,14.31,166,169900,1100.0,0.9028,1177,39
Oklahoma,132500,3.56,2.2800000000000002,12.36,150,195000,1000.0,0.8095,1042,40
Oregon,372900,7.200000000000001,4.6,11.23,336,378900,1850.0,1.2702,1814,41
Pennsylvania,198400,3.9699999999999998,1.6,12.9,239,210000,1350.0,1.0776000000000001,1349,42
Rhode Island,308700,4.97,2.1500000000000004,11.510000000000002,321,315000,2200.0,1.5556,1737,44
South Carolina,190600,4.9,2.3200000000000003,14.510000000000002,341,246900,1350.0,0.9434,1383,45
South Dakota,209700,,,9.430000000000001,220,221900,1200.0,0.8684000000000001,1116,46
Tennessee,192600,,,11.53,168,257900,1370.0,0.9,1274,47
Texas,211200,,,16.17,270,274500,1550.0,0.9667,1575,48
Utah,355500,,,11.120000000000001,555,370000,1550.0,1.089,1589,49
Vermont,261300,2.7700000000000005,1.46,6.94,240,269000,,1.4500000000000002,1741,50
Virginia,291000,3.15,1.8800000000000001,11.25,365,300000,1650.0,1.1364,1648,51
Washington,428900,8.99,5.06,7.76,404,415000,2000.0,1.3848,1973,53
West Virginia,107100,2.7100000000000004,1.8500000000000003,11.370000000000001,126,165000,950.0,0.7813,936,54
Wisconsin,202700,5.6000000000000005,2.43,8.98,278,210900,1200.0,0.9746,1219,55
Wyoming,256100,,,8.120000000000001,433,259900,1100.0,1.0033,1248,56
